ITEM_DESCRIPTION,count
Ceramic Glazed Vitrified Tiles(Other Details As Per Invoice),12
Polished Glazed Vitrified Tiles (Other Details As Per Invoice),12
"Digital Glazed Porcelain Floor Tiles Coloured, Size : 600 X 1200 Mm",12
Glazed Vitrified Tiles - 600X600 Mm,11
Digital Printed Glazed Porcelain Tiles(60 X 120 Cm)(Other Details Are As Per Invoice),11
Glazed Vitrified Tiles (Value Of Goodsincluded Value Of Pallet),11
Full Body Slab(Ceramic Glazed Tiles Of Awater Absorption Coefficient By Weightnot Exceeding 0.5%),11
Polished Glazed Vitrified Tiles - (Size:600 X 600 Mm) - Other Details As Per Inv/Pkg List,11
Digital Printed Glazed Porcelain Tiles Size 600X600 Mm Other Details As Per Invoice & Packing List,11
Glazed Porcelain Tiles And Other Detailsas Per Inv And Pl,11
"Ceramic Glazed Vitrified Tiles , Rest Asper Invoice",11
Glazed Vitrified Full Body Size:600X1200( 1 Box =2 Pcs ) Mfg-Marfil Tiles Llp Gst:24Abofm6290M1Zl Inv:Gstt/228 Dt:08.04,11
Polished Glazed Vitrified Tiles Other Details As Per Inv,11
Glazed Vitrified Tiles,11
Glazed Porcelain Tiles (Other Details Asper Invoice),11
Glazed Vitrified Tiles Other Details Asper Inv & Pl.,11
Glazed Porcelain Tiles (As Per Invoice),11
Ceramic Glazed Vitrified Tiles (Size: 600X1200 Mm),10
Ceramic Glazed Wall Tiles Coloured Size:100Mm X200Mm(1Box=1.00Sqm) Water Absorption Coefficient By Weight Exceeding10%,10
"Ceramic Glazed Wall Tiles Coloured Size: 300X600 Mm (5 Pcs/Box,0.90 Sqm/Box) Other Details As Per Inv & Pl",10
Ceramic Glazed Vitrified Tiles (Size: 600X600 Mm) (Palletised),10
Ceramic Wall Tiles,10
Ceramic Glazed Wall Tiles (Size:300X600Mm(5)) (Other Details As Per Inv & Pl),10
Porcelain Glazed Tile (Box Brand :- Artisan) (Water Absorption Percentage = Notexceeding 0.5%) (Palletised),10
Ceramic Glazed Floor Tiles Size: 396X396Mm (1Box = 0.94 Sqm) (Rest As Per Inv),10
Glazed Vitrified Tiles (Size:600X1200Mm)(Other Details As Per Inv & Pl),10
"Ceramic Glazed Wall Tiles, Other Detailsas Per Inv & Pl",10
Glazed Vitrified Tiles - 600X1200 Mm (Rest As Per Inv.Pack),10
Ceramic Glazed Vitrified Tiles Size:600X1200 Mm,10
Glazed Porcelain Tiles ( Water Absorption Percentage = Not Exceeding 0.5%)(Palletised),10
Glazed Vitrified Tile(Other Details Areas Per Invoice),10
Glazed Vitrified Tiles- 600 X1200Mm,9
Polished Glaze Porcelain Tiles (1428 Box),9
Polished Glaze Porcelain Tiles (9408 Box),9
Glazed Vitrified Tiles (Size: 600X600Mm)(Other Details As Per Inv & Pl),9
Vitrified Glazed Tiles Size: 600 X 1200Mm (2 Pcs Packing) (Other Details As Perinv/Pl ),9
Glazed Tiles 80X320Cm [1 Pcs=2.56 Sqm] As Per Inv,9
Ceramic Glaze Tiles 300 X 300 (Other Details As Per Invoice & Packing List),9
Glazed Porcelain Tiles - (Rest Details As Per Invoice & Packing List),9
Glazed Vitrified Tiles As Per Inv. Tax Inv-Me/3 Dt.04.04.2024,9
Porcelain Tiles (Other Details As Per Invoice).,9
Polished Glaze Porcelain Tiles (1176 Box),9
Glazed Vitrified Floor Tiles Other Details As Per Inv & Pl,9
Unglazed Vitrified Tiles -Full Body (Size: 600X1200Mm) (Other Details As Per Inv& Pl),9
Porcelain Glazed Vitrified Floor Tiles Other Details As Per Inv & Pl.,9
"Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size:1200 X 2800 X 6Mm, O/D As Per Inv & Pl",9
Ceramic Glazed Tiles (Other Details As Per Invoice And Pl),9
Porcelain Glazed Vitrified Tiles (Otherdetails As Per Inv),9
60X120 Cm Glazed Polished Vitrified Tiles As Per Invoice,9
Ceramic Parking Tiles (Size: 400X400 Mm),9
(Glazed Vitrified Tiles For Sample) Other Details As Per Inv & Pl,9
Ceramic Glazed Floor Tiles (Rest Detailsas Per Invoice),9
Glazed Vitrified Tiles - 800X1600 Mm (Other Details As Per Inv),9
Ceramic Glazed Vitrified Tiles - (Size:600 X 1200 Mm) - Other Details As Per Invoice & Packing List,9
Ceramic Glazed Wall Tiles (Rest Detailsas Per Invoice),9
Glazed Porcelain Tiles Water Absorptionless Than 0.5 % Other Details As Per Inv& Pl,9
Digital Printed Glazed Porcelain Tiles Size-600X1200 Mm Other Details As Per Invoice & Packing List,9
Vitrified Tiles O/D As Per Inv/Pl,9
"Porcelain Glazed Vitrified Tiles, Otherdetails As Per Inv & Pl",9
Glaze Ceramic Wall Tiles (1890 Box),9
Glaze Porcelain Tiles (Matt Finish) (986Box),9
Tiles(Other Details Are As Per Invoice),9
Glazed Vitrified Tiles (Size: 600X1200 Mm) (Palletised),9
Digital Printed Glazed Porcelain Tiles(60 X 60 Cm)(Other Details Are As Per Invoice),9
"Porcelain Tiles Glazed Size: 600Mmx600Mm(Average Water Absortion +/-0.5%) 4Pcs-In One Box, 1.44 Sq.Mtr, Mfg- Color Gran",9
Ceramic Glazed Vitrified Tiles (Size: 800X800 Mm) (Palletised),9
Glazed Porcelain Tiles (Other Dtls As Per Inv & P.List,9
Porcelian Glazed Tiles.Other Detail As Per Invoice,9
Digital Glaze Porcelain Tiles O/D As Perinv/Pl,9
Glazed Vitrified Tiles (Other Dtls As Per Inv & P.List),9
Digital Ceramic Glazed Vitrified Tiles Size:800X800Mm (2Pcsbox=1.28 Sq. Mtr),9
Ceramic Glazed Tiles,9
Ceramic Glazed Vitrified Tiles (Size:600X1200 Mm) Other Dtls As Per Inv & Pl),9
"Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size: 1200X2800X6 Mm, O/D As Per Inv & Pl",9
"Glazed Porcelain Tiles-600 X600Mm, Otherdetails As Per Inv Hs Code:69072193",9
Digital Glazed Porcelain Floor Tiles Coloured- 600 X1200Mm,8
Glazed Vitrified Tiles Size 600Mm X 1200Mm (Othr Dtls As Per Inv),8
Full Body Porcelain Tiles Size : 600X1200 Mm (1 Box = 1.44 Sq.Mtr)(Rest As Per Inv),8
Glazed Vitrified Floor Tiles Coloured (Other Details As Per Inv & Pl),8
Ceramic Glazed Vitrified Tiles O/D As Per Inv/Pl,8
Vitrified Glaze Tiles 600X1200Mm(2) (O.D As Per Inv.),8
Glazed Vitrified Tiles Size 600X600 Mm Other Details As Per Inv & Pl,8
"Ceramic Glazed Vitrified Tiles,(Other Details As Per Invoice & Packing List)",8
Ceramic Glazed Wall Tiles (Other Detailsas Per Inv Pl),8
Ceramic Glazed Vitrified Tiles - (Size:600 X 600 Mm) - Other Details As Per Invoice & Packing List,8
Glazed Vitrified Floor Tiles (Bia) - (Size: 600 X 600 X 8.4 Mm) - Other Detailsas Per Invoice & Packing List,8
Digital Glazed Wall Tiles O/D As Per Inv/Pl,8
Digital Printed Glazed Porcelain Tiles Size.600X1200 Mm Other Details As Per Invoice & Packing List,8
Glazed Vitrified Floor Tiles ( 600X1200Mm ),8
Ceramic Glazed Wall Tiles(Other Detailsare As Per Invoice),8
Glazed Vitrified Slab Tiles 320X160X2 Cmothr Dtl As Per Inv Pl,8
As Per Packing List Packing In Pallet Glazed Vitrified Tiles Size 600X600Mm,8
Glazed Vitrified Tiles - 800X1600 Mm Other Details As Per Inv & Pl,8
Ceramic Glaze Tiles 300 X 600 (Other Details As Per Invoice & Packing List),8
Ceramic Glazed Vitrified Tiles (Other Details As Per Invoice),8
Glazed Porcelain Tiles (Size: 600 X 600Mm) (Palletised),8
Glazed Vitrified Tiles For Sample (Otherdetails As Per Inv & Pl),8
Vitrified/Porcelain Tiles Size:60Cm X120Cm(1Box=1.44Sqm) Other Details As Per Inv & Pl,8
Digital Printed Ceramic Glazed Porcelain Tiles 60 X 60 Cm,8
Ceramic Glaze Floor Tiles Coloured Size: 200 X 1200 Mm (1 Box = 1.20 Sq.Mtr),8
Glazed Vitrified Tiles (Size: 60X120 Cm)(Palletised),7
Glazed Vitrified Tiles (Rest As Per Inv),7
Ceramic Glazed Vitrified Tiles Size 60 Cm X 120 Cm,7
Glazed Vitrified Tiles 600X1200Mm / Polished (Other Details As Per Invoice And Packing List ),7
Glazed Vitrified Tiles Size:600X1200 Mmas Per Inv.,7
Ceramic Floor Tiles (Other Details As Per Invoice & Packing List),7
Digital Printed Coloured Glazed Porcelain Tiles 600X1200Mm[1 Box = 2 Pcs = 1.44M2 (Sqm/Box)(Rest As Per Inv),7
Ceramic Glazed Ordinary Floor Tiles,7
Vitrified Tiles(600 Mm X 600 Mm)(Other Details Are As Per Invoice),7
Digital Glazed Vitrified Tiles (Size : 600 X 1200 Mm) (Palletised),7
Digital Glazed Porcelain Floor Tiles Coloured (Size:800X800 Mm) And Other Details As Per Inv And Pl,7
Glazed Ceramic Tiles ( Other Details Asper Inv & Pl ),7
"Ceramic Glazed Floor Tiles Coloured Size : 600X1200 Mm (2 Pcs/Box,1.44 Sqm/Box)Other Details As Per Inv & Pl",7
Digital Glazed Vitrified Tiles (Size: 600 X 600 Mm) (Palletised),7
Ceramic Glazed Wall Tiles (Other Detailsas Per Invoice & Packing Lit),7
Vitrified Tiles(600 X 1200 Mm (Each Box2 Pcs.Pkg. 15.50 Sq.Ft.& 1.44 Sq.Mtr )(Other Details Are As Per Invoice),7
"Ceramic Floor Tiles Size 600X600 Mm, Other Details As Per Inv & Pl",7
Glazed Ceramic Wall Tiles (Other Detailsas Per Invoice),7
"Polished Glazed Vitrified Tiles (Pgvt) Size:- 800X800 Mm, O/D Details As Per Inv& Pl.",7
"Digital Glazed Vitrified Tiles Size : 60Cm X 60 Cm 1 Box = 4 Pcs, 1 Box = 1.44Sqm Rest Details As Per Invoice",7
Glazed Porcelain Floor Tiles Design Code High Glossy (600X1200 Mm) Other Details As Per Invoice & Packing List,7
Ceramic Glazed Vitrified Tile(Other Details As Per Invoice) (Sample For Sni (Notfor Sale),7
"Glazed Porcelain Tiles-600 X1200Mm, Other Details As Per Inv Hs Code:69072193",7
Ceramic Glazed Vitrified Tiles : 800 X 2400 Mm,7
Ceramic Glaze Floor Tiles Coloured Size: 600 X 1200 Mm (1 Box = 2.88 Sq.Mtr)(Other Details As Per Invoice),7
Digital Glazed Porcelain Floor Tiles Coloured(798 X 1598)(Other Details Are As Per Invoice),7
Glazed Porcelain Floor Tiles Design Code Glossy (600X1200 Mm) Other Details Asper Invoice & Packing List,7
Glazed Porcelain Tiles And Other Detailsas Per Inv Andpl,7
Ceramic Wall Tiles (Other Details As Perinvoice & Packing List),7
Glazed Vitrified Floor Tiles(Size 600X1200(1Box=2Pcs)(Other Details Are As Per Invoice),7
Glazed Vitrified Tiles Size 600X1200 Mmother Details As Per Inv & Pl,7
Ceramic Wall Tiles (Other Dtls As Per Inv & Pl),7
Glazed Ceramic Tiles (Other Details As Per Inv & Pl),7
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:800X1600 Mmtax Inv.M-0137 Dt.11.04.2024,7
(Ceramic Glazed Wall Tiles) Other Details As Per Inv & Pl,7
Porcelain Glazed Tiles Size:600X1200 Mm.As Per Inv.,7
Glazed Vitrified Tiles As Per Inv. Tax Inv-Me/1 Dt.03.04.2024,6
Porcelain Glazed Vitrified Tiles Size:Mosaics,6
"Ceramic Glaze Vitrified Tiles Size 600 X 1200 Mm, 1.44 Sq.Mtr. (1 Box = 2 Pcs)",6
"Ceramic Glazed Wall Tiles, Size: 300 X 600 Mm, Rest Dtls As Per Inv And Pl",6
Ceramic Glazed Vitrified Tiles Size 600Mm X1200Mm 1 Box = 2 Pcs (Per Box 1.44 Sqmtrs) As Per Invoice,6
Ceramic Glazed Vitrified Tiles Size 600Mm X600Mm 1 Box = 4 Pcs (Per Box 1.44 Sqmtrs) As Per Invoice,6
Digital Printed Glazed Porcelain Vitrified Tiles Size300X600Mm(1Box=8Pcs=1.44 Sqm)Total 9280 Boxes Other Details As Per,6
Glaze Porcelain Tiles (1218 Box),6
Glazed Porcelain Tiles (Rest Details Asper Inv & Pl),6
Porcelain And Ceramic Tiles (Glaze) (Allother Details As Per Invoice And Pl),6
Digital Printed Glazed Porcelain Tiles(60X60 Cm)(Other Details Are As Per Invoice),6
Glazed Vitrified Tiles - 800X1600 Mm (O/D As Per Inv-Pkg),6
"Porcelain Glazed Vitrified Floor Tiles 600 X 1200Mm (02Pcs/Box, 1.44 Sq.Mtr), As Per Inv",6
Polished Glaze Porcelain Tiles (810 Box),6
Glazed Porcelain Floor Tiles Design Code: High Glossy (600X1200 Mm) Other Details As Per Invoice & Packing List,6
Glazed Vitrified Tiles (Size: 200X1200 Mm) (Other Details As Per Invoice & Packing List),6
Glazed Porcelain Tiles Other Details Asper Inv & Pl.,6
Ceramic Digital Glazed Wall Tiles,6
Glazed Ceramic Wall Tiles (1296 Box),6
Glazed Ceramic Wall Tiles (2592 Box),6
Glazed Porcelain Tiles (Size: 1200X2400Mm) (9 Mm) (We Intnd To Clm Bnft Undr Rodtep Scheme),6
Ceramic Glazed Wall Tiles (Other Detailsas Per Invoice And Pl),6
Glazed Porcelain Tiles ?Water Absorption<0.5% Other Details As Per Inv & Pl,6
Sample (F.O.C) Glazed Porcelain Tiles And Other Details As Per Inv And Pl,6
Glazed Porcelain Tiles (Other Details Asper Invoice And Packing List ),6
Ceramic Glazed Wall Tiles (Other Details As Per Inv & Pl),6
Glaze Porcelain Tiles (High Glossy Finish) (952 Box),6
Ceramic Glazed Floor Tiles Size: 600X600Mm (1Box = 1.44 Sqm)(Rest As Per Inv),6
Glaze Porcelain Tiles (1040 Box),6
Glaze Ceramic Wall Tiles (3780 Box),6
Glazed Vitrified Tiles (Palletised),6
Ceramic Wall Tiles (Digital) Other Details As Per Inv & Pl,6
"Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size: 800X1600Mm, O/D As Per Inv & Pl",6
"Ceramic Glazed Vitrified Tiles (Water Absorption Less Than 0.5%) Size: 800X800 Mm, O/D As Per Inv & Pl",6
Digital Glazed Vitrified Tiles (Digitalglazed Porcelain Tiles) Size:200X1200 Mmtax Inv.Gstt / 19 Dt.03.04.2024,6
Ceramic Glazed Border Tiles Size: 100X600 Mm (1Box = 0.90 Sqm)(Rest As Per Inv),6
Ceramic Glazed Colored Floor Tiles Size:300X300 Mm (1Box = 0.99 Sqm)(Rest As Perinv),6
As Per Packinglist In Pallet Polished Glazed Vitrified Floor Tiles,6
"Digital Ceramic Glazed Wall Tiles Size 25 Cm X 37.5 Cm,1 Box=8 Pcs,1 Box=0.75 Sqm,Mfg-Gst-24Aasfg3554B1Zj Inv.Ex2425 12",6
"Porcelain Tiles Glazed Size:600X1200Mm (Average Water Absortion +-/0.5%) 2Pcs-Inone Box, 1.44 Sq.Mtr,Mfg-Max Granito Pv",6
Glazed Vitrified Tiles (Palletised) (Alldetails As Per Inv & P/List),6
Full Body Porcelain Tiles Size : 600 X 600 Mm(1 Box = 1.44 Sq.Mtr)(Rest As Per Inv),6
Ceramic Glazed Wall Tiles Size: 300X450Mm (1Box = 0.81 Sqm)(Rest As Per Inv),6
Polished Porcelain Tiles,6
Glazed Porcelain Tiles - Other Details As Per Invoice & Packing List,6
"Polished Glazed Porcelain Tiles, (Size :600X1200 Mm) Other Details As Per Inv And Pl",6
Glaze Porcelain Tiles (2000 Box),6
Glaze Porcelain Tiles (5200 Box),6
Glazed Wall Tiles.Other Detail As Per Invoice,6
Glazed Porcelain Floor Tiles Design Code High Glossy (600X1200 Mm) Mm Other Details As Per Invoice & Packing List,6
Ceramic Glazed Wall Tiles : 300 X 600 Mm,6
Glazed Porcelian Floor Tiles Design Code Glossy (600X600 Mm) Other Details Asper Invoice & Packing List,6
Glazed Vitrified Tiles O And D As Per Inv And Pl,6
Glazed Vitrified Tiles - 1200X1200 Mm Other Details As Per Inv & Pl,6
Glazed Vitrified Tiles (Polished) 600X1200 Mm (2 Tiles / Box & 1.44 Sqm/Box),6
Ceramic Glazed Wall Tiles (Colored) Size: 300 X 450 Mm & 300 X 300 Mm,6
Ceramic Glazed Vitrified Tiles Size:600X1200Mm Other Details As Per Inv& Pl,6
Ceramic Glazed Wall Tiles (20X30=16Pcs/Box) O/D As Per Invoice,6
Glaze Ceramic Wall Tiles (Glossy Finish)(1296 Box),6
